編號,倉庫,分類,名稱,寬度mm,長度mm,形狀,五行,進貨總價,進貨數量(顆),進貨日期,進貨廠商,庫存(顆),單顆成本
AC0166,Imeng,配件,隔珠-齒輪桶珠沙漏,3.0,7.0,,金,81.0,50.0,2025/12/10,愛你一生,50.0,1.62
AC0088,Imeng,配件,隔珠-花紋珠玫金-玫金3,3.0,0.0,,金-玫瑰金,50.0,50.0,2025/12/10,TB-物物居,50.0,1.0
AC0089,Imeng,配件,隔珠-花紋珠玫金-玫金4,4.0,0.0,,金-玫瑰金,75.0,50.0,2025/12/10,TB-物物居,50.0,1.5
AC0209,Imeng,配件,定位珠-白金3.2,3.2,0.0,白K金色,金-白K金,8.0,200.0,2025/12/10,億伙,200.0,0.04
AC0199,Imeng,配件,彎管(切角),1.5,30.0,彎管,金-白K金,109.0,50.0,2025/12/10,億伙,50.0,2.18
AC0200,Imeng,配件,彎管(切角),2.0,30.0,彎管,金-白K金,4.0,1.0,2025/12/10,星辰Crystal,1.0,4.0
AC0001,Imeng,配件,開口圈,4.0,0.6,,金-銅,50.0,100.0,2025/12/10,珍珠包金,100.0,0.5
AC0002,Imeng,配件,開口圈,4.0,0.7,,金-銅,6.0,200.0,2025/12/10,億伙,400.0,0.03
AC0243,Imeng,配件,套珠圈-串珠環兔圈-保色銀8.5,8.5,0.0,,銀,8.0,1.0,2025/12/10,愛你一生,1.0,8.0
AC0260,Imeng,配件,球-毛線球銀-保色銀5,5.0,0.0,圓球形,銀,10.0,24.0,2025/12/10,愛你一生,22.0,0.42
AC0270,Imeng,配件,球-鏤空球銀-保色銀4,4.0,0.0,圓球形,銀,59.0,50.0,2025/12/10,愛你一生,50.0,1.18
AC0220,Imeng,配件,花托-太陽花托銀-保色銀07,7.0,0.0,,銀,39.0,50.0,2025/12/10,小聰頭,48.0,0.78
AC0226,Imeng,配件,花托-實心花托銀-保色銀07,7.0,0.0,,銀,39.0,50.0,2025/12/10,小聰頭,50.0,0.78
AC0227,Imeng,配件,花托-雙面花托銀-白金08,5.0,8.0,,銀,8.0,1.0,2025/12/10,TB-天使街,1.0,8.0
AC0228,Imeng,配件,花托-雙面花托銀-白金09,7.0,9.0,,銀,10.0,1.0,2025/12/10,TB-天使街,1.0,10.0
AC0229,Imeng,配件,花托-雙面花托銀-銀08,5.0,8.0,,銀,8.0,1.0,2025/12/10,TB-天使街,1.0,8.0
AC0191,Imeng,配件,調整珠-光面圓珠,6.0,0.0,圓珠,銀,65.0,20.0,2025/12/10,小聰頭,20.0,3.25
AC0004,Imeng,配件,開口圈,4.0,0.7,,銀,6.0,200.0,2025/12/10,億伙,200.0,0.03
AC0018,Imeng,配件,隔片-切花,3.0,0.0,,銀,69.0,50.0,2025/12/10,愛你一生,50.0,1.38
AC0019,Imeng,配件,隔片-切花,4.0,0.0,白K金色,銀,80.0,50.0,2025/12/10,愛你一生,50.0,1.6
AC0020,Imeng,配件,隔片-切花,5.0,0.0,白K金色,銀,92.0,50.0,2025/12/10,愛你一生,100.0,1.77
AC0022,Imeng,配件,隔片-切花,5.0,0.0,,銀,62.0,50.0,2025/12/10,愛你一生,50.0,1.24
AC0015,Imeng,配件,隔片-小碎隔片,3.0,0.0,,銀,25.0,10.0,2025/12/10,愛你一生,10.0,2.5
AC0036,Imeng,配件,隔片-旋轉,5.0,0.0,,銀,57.0,50.0,2025/12/10,XX,100.0,1.12
AC0049,Imeng,配件,隔片-藏銀,5.0,0.0,,銀,49.0,100.0,2025/12/10,TB-義烏卡樂芙,100.0,0.49
AC0050,Imeng,配件,隔片-藏銀,8.0,0.0,,銀,66.0,100.0,2025/12/10,TB-義烏卡樂芙,100.0,0.66
AC0051,Imeng,配件,隔片-藏銀(I),8.0,5.0,,銀,136.0,100.0,2025/12/10,TB-義烏卡樂芙,100.0,1.36
AC0029,Imeng,配件,隔片-雪花,5.0,0.0,,銀,140.0,100.0,2025/12/10,TB-天使街,100.0,1.4
AC0030,Imeng,配件,隔片-雪花,6.0,0.0,,銀,58.0,50.0,2025/12/10,TB-義烏卡樂芙,143.0,1.3687919463087248
AC0033,Imeng,配件,隔片-飛碟片,5.0,0.0,造型-飛碟,銀,92.0,50.0,2025/12/10,,50.0,1.84
AC0034,Imeng,配件,隔片-飛碟片,8.0,0.0,造型-飛碟,銀,48.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,0.96
AC0042,Imeng,配件,隔珠-五葉花,7.0,0.0,,銀,125.0,50.0,2025/12/10,TB-天使街,50.0,2.5
AC0066,Imeng,配件,隔珠-切花珠,2.5,0.0,,銀,71.0,100.0,2025/12/10,愛你一生,100.0,0.71
AC0067,Imeng,配件,隔珠-切花珠,3.0,0.0,,銀,76.0,100.0,2025/12/10,愛你一生,181.0,0.72
AC0070,Imeng,配件,隔珠-切花珠,4.0,0.0,,銀,75.0,100.0,2025/12/10,TB-天使街,100.0,0.75
AC0072,Imeng,配件,隔珠-切花珠,5.0,0.0,,銀,70.0,50.0,2025/12/10,TB-Mary,98.0,1.84
AC0075,Imeng,配件,隔珠-切花珠,0.0,0.0,,銀,89.0,100.0,2025/12/10,TB-天使街,100.0,0.89
AC0071,Imeng,配件,隔珠-切花珠-保色銀5,5.0,0.0,,銀,113.0,100.0,2025/12/10,愛你一生,98.0,1.13
AC0094,Imeng,配件,隔珠-墊片隔珠銀-銀6,6.0,0.0,,銀,80.0,50.0,2025/12/10,TB-物物居,50.0,1.6
AC0103,Imeng,配件,隔珠-幸運草珠(四葉草)白-6.5,6.5,0.0,,銀,200.0,100.0,2025/12/10,TB-物物居,100.0,2.0
AC0127,Imeng,配件,隔珠-異形,5.7,4.7,,銀,30.0,10.0,2025/12/10,TB-天使街,10.0,3.0
AC0129,Imeng,配件,隔珠-異形,7.0,6.0,,銀,40.0,10.0,2025/12/10,TB-天使街,10.0,4.0
AC0040,Imeng,配件,隔珠-芒星,5.0,0.0,,銀,31.0,10.0,2025/12/10,TB-天使街,20.0,3.1
AC0168,Imeng,配件,隔珠-藏銀(A款),8.0,0.0,,銀,58.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,1.16
AC0169,Imeng,配件,隔珠-藏銀(G款),7.0,0.0,,銀,62.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,1.24
AC0170,Imeng,配件,隔珠-藏銀(I款),5.0,0.0,,銀,51.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,1.02
AC0171,Imeng,配件,隔珠-藏銀(I款),8.0,0.0,,銀,135.0,100.0,2025/12/10,TB-義烏卡樂芙,100.0,1.35
AC0172,Imeng,配件,隔珠-藏銀(P款),5.0,0.0,,銀,49.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,0.98
AC0173,Imeng,配件,隔珠-藏銀(R款),5.0,0.0,,銀,49.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,0.98
AC0174,Imeng,配件,隔珠-藏銀(S款),5.0,7.5,,銀,58.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,1.16
AC0097,Imeng,配件,隔珠-車輪珠,5.0,0.0,車輪,銀,20.0,10.0,2025/12/10,TB-天使街,10.0,2.0
AC0099,Imeng,配件,隔珠-車輪珠,6.0,0.0,,銀,21.0,10.0,2025/12/10,TB-天使街,10.0,2.1
AC0048,Imeng,配件,隔珠-鑲鋯圈白金7.5,7.5,0.0,,銀,225.0,20.0,2025/12/10,TB-物物居,20.0,11.25
AC0183,Imeng,配件,隔珠-雙層隔片,5.0,0.0,,銀,92.0,100.0,2025/12/10,TB-義烏卡樂芙,100.0,0.92
AC0184,Imeng,配件,隔珠-雙層隔片,6.0,0.0,,銀,110.0,100.0,2025/12/10,TB-義烏卡樂芙,100.0,1.1
AC0176,Imeng,配件,隔珠-雙層隔珠,4.0,3.0,,銀,15.0,10.0,2025/12/10,TB-天使街,44.0,2.04
AC0038,Imeng,配件,隔珠-飛碟珠,4.0,2.0,,銀,45.0,50.0,2025/12/10,TB-天使街,50.0,0.9
AC0046,Imeng,配件,隔珠-麻花鑲鋯,8.0,0.0,,銀,20.0,10.0,2025/12/10,TB-天使街,20.0,1.95
AC0045,Imeng,配件,隔珠-麻花閉口圈,6.0,0.0,,銀,60.0,50.0,2025/12/10,TB-物物居,50.0,1.2
AC0162,Imeng,配件,隔珠-齒輪飛碟,4.0,0.0,,銀,50.0,50.0,2025/12/10,TB-天使街,50.0,1.0
AC0007,Imeng,配件,碎銀-三角,3.5,0.0,3角,銀-925,7.0,1.0,2025/12/10,TB-銀拍檔,1.0,7.0
AC0008,Imeng,配件,碎銀-三角加厚,3.0,0.0,3角,銀-925,6.0,1.0,2025/12/10,TB-銀拍檔,1.0,6.0
AC0009,Imeng,配件,碎銀-三角厚圓,3.0,0.0,3角,銀-925,5.0,1.0,2025/12/10,TB-銀拍檔,1.0,5.0
AC0010,Imeng,配件,碎銀-不規則,0.0,0.0,不規則,銀-925,8.0,1.0,2025/12/10,TB-銀拍檔,1.0,8.0
AC0011,Imeng,配件,碎銀-四方,1.7,0.0,四方,銀-925,36.0,40.0,2025/12/10,TB-銀拍檔,40.0,0.9
AC0012,Imeng,配件,碎銀-四方,3.0,0.0,四方,銀-925,5.0,1.0,2025/12/10,TB-銀拍檔,1.0,5.0
AC0013,Imeng,配件,碎銀-多面體,0.0,0.0,多面體,銀-925,310.0,52.0,2025/12/10,TB-廣州小銀子,52.0,5.96
AC0014,Imeng,配件,碎銀-隨行,3.0,4.0,小號,銀-925,300.0,33.0,2025/12/10,TB-廣州小銀子,33.0,9.09
AC0274,Imeng,配件,造型珠-愛心桶珠-粉5.8,5.8,0.0,桶珠,銀-925,55.0,1.0,2025/12/10,福祿壽銀飾,1.0,55.0
AC0279,Imeng,配件,造型珠銀-六字箴言-復古銀8.4*7,8.4,7.0,桶珠,銀-925,50.0,1.0,2025/12/10,福祿壽銀飾,1.0,50.0
AC0280,Imeng,配件,造型珠銀-六字箴言-復古銀8.9*13.6,8.9,13.6,桶珠,銀-925,70.0,1.0,2025/12/10,福祿壽銀飾,1.0,70.0
AC0281,Imeng,配件,造型珠銀-六字箴言-復古銀8.9*13.6,8.9,13.6,圓珠,銀-925,13.0,1.0,2025/12/10,Rich,1.0,13.0
AC0282,Imeng,配件,造型珠銀-六字箴言-藏銀10*8,10.0,8.0,桶珠,銀-925,13.0,1.0,2025/12/10,TB-義烏卡樂芙,1.0,13.0
AC0283,Imeng,配件,造型珠銀-六字箴言-藏銀11*13,11.0,13.0,桶珠,銀-925,19.0,1.0,2025/12/10,TB-義烏卡樂芙,1.0,19.0
AC0284,Imeng,配件,造型珠銀-六字箴言-藏銀4*5,4.0,5.0,圓珠,銀-925,13.0,1.0,2025/12/10,Rich,1.0,13.0
AC0285,Imeng,配件,造型珠銀-六字箴言-藏銀7.5*15.5,7.5,15.5,桶珠,銀-925,1.0,14.0,2025/12/10,TB-義烏卡樂芙,14.0,0.07
AC0286,Imeng,配件,造型珠銀-六字箴言-藏銀8*7,8.0,7.0,桶珠,銀-925,190.0,1.0,2025/12/10,Rich,51.0,9.607843137254902
AC0278,Imeng,配件,造型珠銀-十字架泰銀4.8*6,4.8,6.0,桶珠,銀-925,20.0,1.0,2025/12/10,福祿壽銀飾,1.0,20.0
AC0289,Imeng,配件,造型珠銀-四葉草粉-銀925/5.8,5.8,0.0,桶珠,銀-925,55.0,1.0,2025/12/10,福祿壽銀飾,1.0,55.0
AC0288,Imeng,配件,造型珠銀-四葉草紅-銀925/5.8,5.8,0.0,桶珠,銀-925,55.0,1.0,2025/12/10,福祿壽銀飾,1.0,55.0
AC0298,Imeng,配件,造型珠銀-復古花朵-純銀925/6,6.0,0.0,純銀925,銀-925,24.0,1.0,2025/12/10,福祿壽銀飾,1.0,24.0
AC0299,Imeng,配件,造型珠銀-愛心鎖扣+鑰匙-純銀925/10*10,10.0,10.0,純銀925,銀-925,285.0,1.0,2025/12/10,寶城水晶,1.0,285.0
AC0294,Imeng,配件,造型珠銀-招財納福-藏銀7.5*7,7.5,7.0,桶珠,銀-925,90.0,1.0,2025/12/10,Rich,1.0,90.0
AC0297,Imeng,配件,造型珠銀-條紋5.3*5.1,5.3,5.1,桶珠,銀-925,30.0,1.0,2025/12/10,福祿壽銀飾,1.0,30.0
AC0290,Imeng,配件,造型珠銀-米奇頭-純銀925/10*12,10.0,12.0,純銀925,銀-925,300.0,1.0,2025/12/10,寶城水晶,1.0,300.0
AC0291,Imeng,配件,造型珠銀-米妮圓頭紫蝴蝶結-純銀925/10,10.0,0.0,純銀925,銀-925,300.0,1.0,2025/12/10,寶城水晶,1.0,300.0
AC0292,Imeng,配件,造型珠銀-米妮頭紫蝴蝶結-純銀925/10*12,10.0,12.0,純銀925,銀-925,300.0,1.0,2025/12/10,寶城水晶,1.0,300.0
AC0300,Imeng,配件,造型珠銀-編織-泰銀5.9*4.2,5.9,4.2,桶珠,銀-925,20.0,1.0,2025/12/10,福祿壽銀飾,1.0,20.0
AC0295,Imeng,配件,造型珠銀-花紋-泰銀4.7*8.9,4.7,8.9,桶珠,銀-925,30.0,1.0,2025/12/10,福祿壽銀飾,1.0,30.0
AC0293,Imeng,配件,造型珠銀-車輪珠-純銀925/7.5,7.5,0.0,純銀925,銀-925,43.0,1.0,2025/12/10,御金坊,1.0,43.0
AC0296,Imeng,配件,造型珠銀-金錢管-純銀925/5*5,5.0,5.0,純銀925,銀-925,20.0,1.0,2025/12/10,御金坊,1.0,20.0
AC0005,Imeng,配件,開口圈,3.7,0.0,,銀-925,25.0,10.0,2025/12/10,TB-慶和銀飾,10.0,2.5
AC0006,Imeng,配件,開口圈,4.0,0.7,,銀-925,6.0,200.0,2025/12/10,億伙,200.0,0.03
AC0023,Imeng,配件,隔片-手打,5.0,2.0,隔珠,銀-925,22.0,1.0,2025/12/10,Rich,1.0,22.0
AC0109,Imeng,配件,隔珠-南瓜,7.8,7.5,造型,銀-925,72.0,1.0,2025/12/10,Rich,1.0,72.0
AC0141,Imeng,配件,隔珠-圓珠光面,4.0,0.0,圓珠,銀-925,230.0,46.0,2025/12/10,寶城水晶,46.0,5.0
AC0142,Imeng,配件,隔珠-圓珠光面,5.0,0.0,圓珠,銀-925,400.0,50.0,2025/12/10,TB-慶和銀飾,50.0,8.0
AC0143,Imeng,配件,隔珠-圓珠光面,6.0,0.0,圓珠,銀-925,225.0,30.0,2025/12/10,寶城水晶,30.0,7.5
AC0153,Imeng,配件,隔珠-算盤珠,4.5,0.0,,銀-925,4.0,1.0,2025/12/10,福祿壽銀飾,1.0,4.0
AC0221,Imeng,配件,花托-四心花托銀-保色銀08.5,8.5,0.0,,銀-保色銀,55.0,50.0,2025/12/10,TB-Mary,50.0,1.1
AC0234,Imeng,配件,花托-鏤空花托銀A,6.0,0.0,,銀-保色銀,95.0,50.0,2025/12/10,TB-Mary,50.0,1.9
AC0238,Imeng,配件,花托-鏤空花托銀A,8.0,0.0,,銀-保色銀,28.0,10.0,2025/12/10,TB-Mary,10.0,2.8
AC0235,Imeng,配件,花托-鏤空花托銀B,6.0,0.0,,銀-保色銀,95.0,50.0,2025/12/10,TB-Mary,50.0,1.9
AC0236,Imeng,配件,花托-鏤空花托銀C,6.0,0.0,,銀-保色銀,0.0,0.0,2025/12/10,XX,0.0,0.0
AC0239,Imeng,配件,花托-鏤空花托銀C,8.0,0.0,,銀-保色銀,28.0,10.0,2025/12/10,XX,8.0,2.8
AC0237,Imeng,配件,花托-鏤空花托銀D,6.0,0.0,,銀-保色銀,25.0,10.0,2025/12/10,TB-Mary,10.0,2.5
AC0056,Imeng,配件,隔珠-六角,3.0,0.0,,銀-保色銀,110.0,100.0,2025/12/10,TB-Mary,100.0,1.1
AC0120,Imeng,配件,隔珠-扁片,6.0,0.0,,銀-保色銀,85.0,50.0,2025/12/10,TB-天使街,50.0,1.7
AC0119,Imeng,配件,隔珠-扁隔片珠,6.0,0.0,,銀-保色銀,85.0,100.0,2025/12/10,TB-Mary,94.0,0.85
AC0090,Imeng,配件,隔珠-扭珠,5.0,4.0,,銀-保色銀,70.0,50.0,2025/12/10,TB-Mary,50.0,1.4
AC0086,Imeng,配件,隔珠-梅花珠白-6.5,6.5,0.0,,銀-保色銀,200.0,100.0,2025/12/10,TB-物物居,98.0,2.0
AC0107,Imeng,配件,隔珠-波浪圓形,6.0,0.0,,銀-保色銀,45.0,10.0,2025/12/10,TB-Mary,20.0,3.7
AC0057,Imeng,配件,隔珠-波點珠,8.0,0.0,,銀-保色銀,100.0,50.0,2025/12/10,TB-天使街,46.0,2.0
AC0082,Imeng,配件,隔珠-立體星球,0.0,0.0,,銀-保色銀,15.0,1.0,2025/12/10,TB-Mary,1.0,15.0
AC0159,Imeng,配件,隔珠-線圈,6.0,0.0,,銀-保色銀,25.0,10.0,2025/12/10,TB-Mary,10.0,2.5
AC0084,Imeng,配件,隔珠-麻花,6.0,0.0,,銀-保色銀,158.0,20.0,2025/12/10,TB-義烏卡樂芙,20.0,7.9
AC0085,Imeng,配件,隔珠-麻花閉口圈,6.0,0.0,,銀-保色銀,52.0,50.0,2025/12/10,TB-物物居,50.0,1.04
AC0163,Imeng,配件,隔珠-齒輪(雙層),8.0,0.0,,銀-保色銀,49.0,50.0,2025/12/10,TB-義烏卡樂芙,50.0,0.98
AC0301,Imeng,配件,隔珠--6角珠-66銅-銅色,4.7,0.0,,銅,66.0,20.0,2025/12/10,昇輝,20.0,3.3
AC0186,Imeng,配件,隔珠--W015,3.0,2.5,,銅,22.0,20.0,2025/12/10,昇輝,20.0,1.1
AC0187,Imeng,配件,隔珠-2.5,2.5,0.0,,銅,22.0,20.0,2025/12/10,昇輝,20.0,1.1
AC0189,Imeng,配件,隔珠-3,3.0,0.0,,銅,11.0,20.0,2025/12/10,昇輝,20.0,0.55
AC0188,Imeng,配件,隔珠-3.5,3.5,0.0,,銅,66.0,20.0,2025/12/10,昇輝,20.0,3.3
AC0190,Imeng,配件,隔珠-W-4,4.0,2.0,,銅,33.0,20.0,2025/12/10,昇輝,20.0,1.65
AC0175,Imeng,配件,隔珠-壓線-6*2,6.0,2.0,,銅,66.0,20.0,2025/12/10,昇輝,20.0,3.3
AC0080,Imeng,配件,隔珠-方W2,2.0,2.0,,銅,16.0,20.0,2025/12/10,昇輝,20.0,0.8
AC0302,Imeng,配件,隔珠-方塊圓角銅-2.5*2.5,2.5,2.5,,銅,22.0,20.0,2025/12/10,昇輝,20.0,1.1
AC0304,Imeng,配件,隔珠-米粒珠銅-銅色2*4,2.0,4.0,,銅,55.0,100.0,2025/12/10,昇輝,100.0,0.55
AC0305,Imeng,配件,隔珠-米粒珠銅-銅色3.3*5,3.3,5.0,,銅,66.0,100.0,2025/12/10,昇輝,100.0,0.66
AC0123,Imeng,配件,隔珠-紐珠3,3.0,0.0,銅,銅,55.0,20.0,2025/12/10,昇輝,20.0,2.75
AC0122,Imeng,配件,隔珠-紐珠3.5切邊線,3.5,7.0,銅,銅,66.0,20.0,2025/12/10,昇輝,20.0,3.3
AC0124,Imeng,配件,隔珠-紐珠5,5.0,0.0,銅,銅,66.0,20.0,2025/12/10,昇輝,20.0,3.3
AC0155,Imeng,配件,隔珠-銅珠-6,6.0,0.0,,銅,44.0,20.0,2025/12/10,昇輝,20.0,2.2
AC0144,Imeng,配件,隔珠-圓珠光面,4.0,0.0,圓珠,鋼,40.0,100.0,2025/12/10,TB-鈦鋼潮牌,100.0,0.4
AC0145,Imeng,配件,隔珠-圓珠光面,5.0,0.0,圓珠,鋼,45.0,100.0,2025/12/10,TB-鈦鋼潮牌,150.0,1.1466666666666667
AC0146,Imeng,配件,隔珠-圓珠光面,6.0,0.0,圓珠,鋼,50.0,100.0,2025/12/10,TB-鈦鋼潮牌,100.0,0.5
AC0257,Imeng,配件,針-9針-鈦鋼0.7*40,0.7,40.0,,鋼-數字珠,13.0,100.0,2025/12/10,億伙,100.0,0.13
AC0078,Imeng,配件,隔珠-貓眼批花珠-14包金4,4.0,0.0,,,58.0,50.0,2025/12/10,TB-Mary,50.0,1.16
NU0030,Imeng,配件-數字,數字珠-0號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0040,Imeng,配件-數字,數字珠-0號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0021,Imeng,配件-數字,數字珠-1號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,72.0,4.6
NU0031,Imeng,配件-數字,數字珠-1號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0022,Imeng,配件-數字,數字珠-2號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0032,Imeng,配件-數字,數字珠-2號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0023,Imeng,配件-數字,數字珠-3號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0033,Imeng,配件-數字,數字珠-3號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0024,Imeng,配件-數字,數字珠-4號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0034,Imeng,配件-數字,數字珠-4號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0025,Imeng,配件-數字,數字珠-5號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0035,Imeng,配件-數字,數字珠-5號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0026,Imeng,配件-數字,數字珠-6號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0036,Imeng,配件-數字,數字珠-6號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0027,Imeng,配件-數字,數字珠-7號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0037,Imeng,配件-數字,數字珠-7號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0028,Imeng,配件-數字,數字珠-8號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0038,Imeng,配件-數字,數字珠-8號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0029,Imeng,配件-數字,數字珠-9號,3.0,3.0,方塊,金-玫瑰金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0039,Imeng,配件-數字,數字珠-9號,4.0,4.0,方塊,金-玫瑰金,7.5,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,7.5
NU0019,Imeng,配件-數字,數字珠-0號,3.0,3.0,方塊,鋼,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0020,Imeng,配件-數字,數字珠-0號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,0.0,5.0
NU0041,Imeng,配件-數字,數字珠-124875,4.0,7.0,長柱,鋼,5.1,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,5.1
NU0001,Imeng,配件-數字,數字珠-1號,3.0,3.0,方塊,金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,42.0,4.6
NU0002,Imeng,配件-數字,數字珠-1號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,5.0
NU0003,Imeng,配件-數字,數字珠-2號,3.0,3.0,方塊,鋼,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0004,Imeng,配件-數字,數字珠-2號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,5.0
NU0005,Imeng,配件-數字,數字珠-3號,3.0,3.0,方塊,鋼,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0006,Imeng,配件-數字,數字珠-3號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,0.0,5.0
NU0007,Imeng,配件-數字,數字珠-4號,3.0,3.0,方塊,鋼,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0008,Imeng,配件-數字,數字珠-4號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,-1.0,5.0
NU0009,Imeng,配件-數字,數字珠-5號,3.0,3.0,方塊,金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,48.0,4.6
NU0010,Imeng,配件-數字,數字珠-5號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,5.0
NU0011,Imeng,配件-數字,數字珠-6號,3.0,3.0,方塊,金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,46.0,4.6
NU0012,Imeng,配件-數字,數字珠-6號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,5.0
NU0013,Imeng,配件-數字,數字珠-7號,3.0,3.0,方塊,金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,59.0,4.6
NU0014,Imeng,配件-數字,數字珠-7號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,-1.0,5.0
NU0015,Imeng,配件-數字,數字珠-8號,3.0,3.0,方塊,金,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,5.0,4.6
NU0016,Imeng,配件-數字,數字珠-8號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,0.0,5.0
NU0017,Imeng,配件-數字,數字珠-9號,3.0,3.0,方塊,鋼,4.6,1.0,2025/12/10,TB-鈦鋼潮牌,1.0,4.6
NU0018,Imeng,配件-數字,數字珠-9號,4.0,4.0,方塊,鋼,5.0,1.0,2025/12/10,TB-鈦鋼潮牌,-1.0,5.0
AC0004,Imeng,配件-釦,釦-光面-14包金4,4.0,0.0,光面,金,68.0,50.0,2025/12/10,TB-Mary,50.0,1.36
AC0003,Imeng,配件-釦,釦-光面-14包金4*8,4.0,8.0,光面,金,18.0,20.0,2025/12/10,TB-鈦鋼潮牌,20.0,0.9
AC0001,Imeng,配件-釦,釦-圓球形-14包金3.5,3.5,0.0,圓球形,金,32.0,10.0,2025/12/10,珍珠包金,10.0,3.2
AC0031,Imeng,配件-釦,釦-扣(月牙扣),4.0,0.0,南瓜紋,金,70.0,50.0,2025/12/10,TB-Mary,100.0,1.4
AC0032,Imeng,配件-釦,釦-扣(月牙扣),5.0,0.0,南瓜紋,金,80.0,50.0,2025/12/10,TB-Mary,200.0,1.6
AC0011,Imeng,配件-釦,釦-按扣金-14包金3.2,3.2,0.0,,金,40.0,10.0,2025/12/10,TB-Mary,10.0,4.0
AC0012,Imeng,配件-釦,釦-按扣金-18包金3.2,3.2,0.0,,金,40.0,10.0,2025/12/10,TB-Mary,10.0,4.0
AC0002,Imeng,配件-釦,釦-貝殼形-14包金3.5,3.5,0.0,貝殼形,金,32.0,10.0,2025/12/10,珍珠包金,10.0,3.2
AC0018,Imeng,配件-釦,釦-馬蹄釦(型扣),4.0,5.0,U型,金,21.0,10.0,2025/12/10,珍珠包金,10.0,2.1
